L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.669569,0.753376,0.759526,0.721891,0.958138,1.137932,1.155086,1.123971,0.543027,0.522927,0.564229,0.606825,0.445193,0.472099,0.437535,0.390408,0.243091,0.079087,0.071991,0.095472,0.07297,0.063199,0.062002,0.04469
0.672818,0.754205,0.75984,0.722134,0.955008,1.134806,1.151957,1.120829,0.542635,0.522926,0.564305,0.606484,0.445209,0.472094,0.437538,0.390375,0.246331,0.080804,0.073478,0.097586,0.07297,0.063136,0.061926,0.044675
0.676061,0.755352,0.760484,0.722673,0.951876,1.131677,1.148827,1.117684,0.542231,0.522938,0.564397,0.60615,0.445227,0.472088,0.437539,0.390343,0.249338,0.082496,0.07498,0.099635,0.072971,0.063075,0.061853,0.044659
0.679279,0.756837,0.761492,0.723537,0.948743,1.128546,1.145697,1.114537,0.541811,0.522962,0.564507,0.605829,0.445247,0.472082,0.437539,0.390313,0.252097,0.084156,0.076495,0.101609,0.072974,0.063018,0.061784,0.044643
0.682461,0.758678,0.762894,0.724752,0.945607,1.125413,1.142565,1.111388,0.541373,0.522999,0.564635,0.605526,0.445266,0.472075,0.437538,0.390283,0.254591,0.085777,0.078019,0.103496,0.072979,0.062962,0.061718,0.044627
0.685598,0.760887,0.764715,0.726342,0.942469,1.122278,1.139432,1.108237,0.540918,0.52305,0.564781,0.605246,0.445284,0.472069,0.437537,0.390255,0.25681,0.087352,0.079547,0.105287,0.072988,0.062909,0.061656,0.044611
0.68869,0.76347,0.766971,0.728324,0.939327,1.119141,1.136297,1.105083,0.540442,0.523115,0.564946,0.604995,0.445301,0.472064,0.437535,0.390229,0.258743,0.088869,0.081067,0.106969,0.073,0.062859,0.061597,0.044595
0.691739,0.766424,0.769667,0.730706,0.936181,1.116002,1.133161,1.101928,0.539947,0.523197,0.565131,0.60478,0.445314,0.472059,0.437533,0.390204,0.260385,0.090315,0.082568,0.108534,0.073016,0.062812,0.061542,0.044579
0.694757,0.769744,0.7728,0.73349,0.933033,1.112862,1.130023,1.098772,0.539431,0.523295,0.565338,0.604605,0.445325,0.472054,0.437531,0.390181,0.261731,0.091676,0.084032,0.109971,0.073038,0.062767,0.06149,0.044562
0.697757,0.773416,0.776356,0.736666,0.929882,1.109721,1.126882,1.095614,0.538894,0.523413,0.565569,0.604475,0.445334,0.47205,0.437529,0.390159,0.262781,0.092935,0.085441,0.111268,0.073064,0.062724,0.061441,0.044546
0.700757,0.777426,0.780312,0.740216,0.926729,1.106578,1.12374,1.092454,0.538336,0.523555,0.565826,0.604392,0.445341,0.472047,0.437526,0.390139,0.263534,0.094076,0.086774,0.112413,0.073095,0.062685,0.061395,0.04453
0.703775,0.781753,0.784637,0.744118,0.923574,1.103434,1.120597,1.089294,0.537758,0.523723,0.56611,0.604357,0.445347,0.472044,0.437524,0.39012,0.263995,0.095085,0.088007,0.113397,0.073129,0.062647,0.061351,0.044514
0.706832,0.78638,0.789295,0.748344,0.920416,1.10029,1.117452,1.086133,0.537162,0.523922,0.566423,0.604369,0.445352,0.472042,0.437522,0.390102,0.264165,0.095947,0.089116,0.11421,0.073164,0.062613,0.06131,0.044499
0.709944,0.791284,0.794246,0.752864,0.917257,1.097145,1.114306,1.082971,0.536549,0.524155,0.566762,0.604428,0.445357,0.472041,0.437521,0.390085,0.264052,0.096652,0.090079,0.114842,0.0732,0.06258,0.061271,0.044483
0.713127,0.796446,0.799457,0.757652,0.914098,1.093999,1.111158,1.079809,0.535922,0.524427,0.567129,0.604533,0.445364,0.47204,0.43752,0.390069,0.26366,0.09719,0.09088,0.115288,0.073236,0.06255,0.061234,0.044468
0.716395,0.801847,0.804897,0.762681,0.910938,1.090853,1.10801,1.076646,0.535288,0.524739,0.567524,0.604682,0.445373,0.472039,0.437519,0.390054,0.262997,0.097558,0.091507,0.115543,0.073271,0.062521,0.061198,0.044453
0.719758,0.80747,0.810541,0.76793,0.907779,1.087707,1.104861,1.073483,0.53465,0.525094,0.567947,0.604875,0.445384,0.47204,0.437519,0.39004,0.262069,0.097752,0.091952,0.115604,0.073304,0.062494,0.061163,0.044438
0.723224,0.8133,0.816372,0.773381,0.904621,1.084561,1.101712,1.07032,0.534015,0.525493,0.568398,0.60511,0.445399,0.472041,0.437519,0.390027,0.260884,0.097774,0.092214,0.115473,0.073334,0.062469,0.061129,0.044423
0.726799,0.819323,0.822376,0.77902,0.901465,1.081416,1.098562,1.067157,0.533392,0.525935,0.568875,0.605385,0.445416,0.472042,0.43752,0.390015,0.259449,0.097627,0.092295,0.11515,0.073363,0.062444,0.061094,0.044408
0.730487,0.825525,0.828541,0.784837,0.898311,1.078271,1.095413,1.063994,0.53279,0.526416,0.569377,0.6057,0.445437,0.472044,0.437522,0.390004,0.257771,0.097315,0.092199,0.11464,0.07339,0.062419,0.061059,0.044393
0.73429,0.831896,0.834859,0.790826,0.895161,1.075127,1.092263,1.060832,0.532219,0.526932,0.569901,0.606053,0.445459,0.472046,0.437524,0.389994,0.255859,0.096846,0.091932,0.113949,0.073415,0.062395,0.061023,0.044377
0.738211,0.838426,0.841326,0.796983,0.892014,1.071983,1.089113,1.057669,0.531688,0.527477,0.570443,0.606442,0.445483,0.472047,0.437526,0.389984,0.253718,0.096228,0.091504,0.113083,0.073438,0.06237,0.060986,0.04436
0.742252,0.845109,0.847936,0.803304,0.888871,1.068841,1.085962,1.054507,0.53121,0.528047,0.570999,0.606864,0.445507,0.472048,0.437528,0.389974,0.251356,0.09547,0.090927,0.11205,0.073461,0.062345,0.060947,0.044341
0.746416,0.851937,0.85469,0.809785,0.885732,1.0657,1.08281,1.051346,0.530793,0.528637,0.571566,0.607315,0.445531,0.472049,0.43753,0.389965,0.24878,0.094584,0.090214,0.110858,0.073484,0.062319,0.060906,0.044322
0.750702,0.858909,0.861585,0.816422,0.882599,1.062559,1.079658,1.048185,0.530442,0.529242,0.572143,0.607791,0.445553,0.472048,0.437531,0.389956,0.245994,0.093582,0.089378,0.109517,0.073506,0.062293,0.060863,0.0443
0.75511,0.866018,0.868624,0.823211,0.87947,1.05942,1.076506,1.045025,0.530162,0.529859,0.572728,0.608286,0.445573,0.472046,0.437531,0.389947,0.243007,0.092475,0.088434,0.108035,0.073529,0.062265,0.060818,0.044277
0.759638,0.873263,0.875807,0.830148,0.876346,1.056282,1.073355,1.041866,0.529953,0.530483,0.57332,0.608797,0.445589,0.472043,0.43753,0.389937,0.239822,0.091277,0.087397,0.106423,0.073554,0.062237,0.060771,0.044252
0.764284,0.88064,0.883135,0.837229,0.873228,1.053146,1.070205,1.038709,0.529813,0.531111,0.573919,0.609321,0.445601,0.472038,0.437527,0.389926,0.236448,0.089999,0.08628,0.10469,0.07358,0.062208,0.060722,0.044225
